Identification,Addressee,Location,Date (d/m/y),Date (if unspecified),Keywords,Relevance,Summary,Quotes
"CLI.9 [To an unidentified correspondent, 11 March 1887]",Unidentified,"10 Ashfield Terrace, Harolds Cross","Mar 11, 1887",,"Literary criticism, poetry",4,"Responds to correspodent's concerns about some lines of his published poetry. Mentions common acquaintance and interest in Walt Whitman.

Strategy: common acquaintance and taste to counter criticism.","""Please excuse this somewhat rudderless scrawl. I write no more than one or two letters in six months and so to compose a more elaborate affair would be a sort of alpine journey"""
"CLI.5 [To Mary Cronin, c. 1882]",Mary Cronin,"Kilrock Road, Howth",,c. 1882,"Verses, poetry, poetic principles, canonicity, irony",3,"WBY writes the wife of Robert Barry Cronin, a friend of their landlord at Howth, upon her request for some of his verses. WBY says all his other poems are long and the one he is sending should be the shortest and most intelligible.WBY comments ironically that she will not care for the verses until ""they have become classics and are set for examinations.""
Note on his poetic principles, ""as you will see my great aim is directness and extreme simplicity"" denied by the poem itself.",
"CLI.7 [To F. J. Gregg, late summer 1886]",F. J. Gregg,"Rosses Point, Sligo",,late summer 1886,"literary criticism, the unconscious, evolution, religion, reason",3,"WBY refuses to read a fifth volume of George Eliot novels. He justifies in seven arguments: her characters are uninteresting (compares to Hugo's Esmeralda and the hunchback), she cares only for the conscious nature of man, she is not synthetic, she has morals but no religion, she cannot describe passion, she is too reasonable.","I never met a George Eliottite who had either  imagination or spirit enough for a good lie.
The only business of the head is to bow ceaseless obeisance to the heart."
"CLI.10 [To Katharine Tynan, 27 April 1887]",Katharine Tynan,"6 Berkley Road, Regents Park Road","Apr 27, 1887",,"Publications, poetic project for Ireland, family whereabouts",3,"WBY comments on both his and KT's publications, expressing hopes for the founding of a school of irish poetry based on Irish myth and history. Comments on his desolation in London (c.f. ""Innisfree""). Family scattered.",
"CLI.10 [To Katharine Tynan, 8 May 1887]",Katharine Tynan,"58 Eardley Crescent, South Kensington","May 8, 1887",,"Publications, reviews, speech at the House of Commons, Home Rulers",3,Comments on KT's article on O'Shaughnessy. Apologizes for social gaffe. Comments on review of Shamrocks by Rolleston and his criticism of individual poems. Reports on visit to the House of Commons in which a debate over an alledged attempt to embarrass the Irish Home Rule Party by The Times. Brief comment on English support of Home Rule.,
"CLI.15 [To Katharine Tynan, 18 May 1887]",Katharine Tynan,"58 Eardley Crescent, South Kensington","May 18, 1887",,"Reviews, Irish poetry, plans for the Poems and Ballads of Young Ireland",3,"WBY complains about London and his health. Tells KT about his review of Shamrocks. Reports meeting Ernest Rhys and his suggestions for a book of Irish songs (including specific poets). Remarks on poems sent to the Gael and the expected answer from O'Leary. Comments on poems by Tohdunter and plans for a ""ballad book"".",
"CLI.17 [To Katharine Tynan, 31 May 1887]",Katharine Tynan,"58 Eardley Crescent, South Kensington","May 31, 1887",,"Publications, activities in London, ""Society of the New Life""",3,"WBY comments on ""Shamrocks"", his and others' reviews of it. Reports on his writings, published and intended. Introduces a society he plans to attend, based on Thoreau and Whitman. Plans to introduce KT and AE.",
"CLI.19 [To John O'Leary, 13 June 1887]",John O'Leary,"58 Eardley Crescent, South Kensington","Jun 13, 1887",,"Review of ""Shamrocks"", aesthetic, poetry for publication",3,"WBY comments on his review of KT's ""Shamrocks"" and JO'L's response to it, justifying his opinions and putting forward some of his aesthetic. Asks about poems sent and sends more. Comments on future projects, his and others', for the PBYI. Asks about former IRB member sentenced to death John Boyle O'Reilly, who would escape to the USA and become the editor of the Boston Pilot.",
"CLI.27 [To John O'Leary, 12 July 1887]",John O'Leary,"58 Eardley Crescent, South Kensington","Jul 12, 1887",,"Publications, reviews",3,"WBY enquires after pieces sent to JO'L. Comments on his ""The Protestant's Leap"" and situates it politically. Asks for suggestions fo books to edit for the Camelot Classics. Regrets that the poem ""Banshee"" by Todhunter will be out of their collection of ballads.","""Would you kindly let me have, the two poems you did not care for, back as _I did not keep a copy of either_."" (p. 27)"
"CL1.42 [To the Editor of The Gael, 23 November 1887]",Th Editor of the Gael,unspecified,"Nov 23, 1887",,"Misprints, politics",3,WBY writes to the editor pretending not to recognise his own poem as it appeared full of misprints. He says the compositor is an imitator of Browning.,"""I congratulate him on the exquisite tact with which he has caught some of the confusion of his master [Browning]."""
